ITEM_ID,ORD_CLOSED_DT,PRICE
MLB3898911676,2024-03-05,506.47
MLB4154937680,2024-03-10,298.06
MLB3394742467,2024-03-08,643.33
MLB2716074299,2024-03-19,363.78
MLB3543515810,2024-03-15,818.64
MLB2941525733,2024-03-24,82.84
MLB3836655204,2024-03-22,55.18
MLB4104531912,2024-03-06,587.09
MLB3913984008,2024-03-05,722.05
MLB3570782933,2024-03-13,100.89
MLB3314287690,2024-03-17,926.07
MLB3411866009,2024-03-16,902.8
MLB3497187009,2024-03-18,13.08
MLB4200305618,2024-03-10,681.77
MLB2748402804,2024-03-08,947.77
MLB3544186473,2024-03-28,444.25
MLB3386318393,2024-03-17,856.31
MLB3340435709,2024-03-14,194.58
MLB3322742677,2024-03-22,465.78
MLB1813858155,2024-03-23,819.96
MLB4176025204,2024-03-10,212.49
MLB3557523263,2024-03-16,631.27
MLB3496101876,2024-03-18,93.22
MLB3839292454,2024-03-05,991.14
MLB3158429584,2024-03-08,951.91
MLB3545304551,2024-03-23,186.86
MLB3349165725,2024-03-12,428.84
MLB3544186473,2024-03-01,115.5
MLB3496101876,2024-03-26,340.19
MLB3492637065,2024-03-23,499.15
MLB3823895436,2024-03-30,886.88
MLB3422917323,2024-03-10,571.45
MLB4072491478,2024-03-16,251.95
MLB4130206690,2024-03-02,610.56
MLB4340001198,2024-03-04,887.4
MLB4241265672,2024-03-27,879.61
MLB2778863720,2024-03-16,100.64
MLB4097203966,2024-03-26,357.33
MLB3813947184,2024-03-25,288.13
MLB2081557727,2024-03-17,567.17
MLB3370762497,2024-03-29,352.61
MLB3315327807,2024-03-08,47.9
MLB2860498536,2024-03-03,602.87
MLB2202276400,2024-03-14,794.39
MLB4105782008,2024-03-02,568.62
MLB3241448542,2024-03-14,368.22
MLB4311492528,2024-03-11,298.78
MLB4316355190,2024-03-08,115.87
MLB3516522797,2024-03-16,410.32
MLB3102171031,2024-03-04,439.19
MLB2819840807,2024-03-14,440.53
MLB3665566820,2024-03-06,680.48
MLB3500787419,2024-03-10,682.29
MLB3456872639,2024-03-10,278.74
MLB3842202456,2024-03-29,265.3
MLB3440196655,2024-03-12,487.49
MLB4386801008,2024-03-27,250.1
MLB3349165725,2024-03-19,107.45
MLB3257863870,2024-03-15,949.59
MLB3553007117,2024-03-09,361.4
MLB3813947184,2024-03-23,195.21
MLB3387261687,2024-03-18,969.48
MLB3106352601,2024-03-17,487.63
MLB3557523263,2024-03-28,490.39
MLB3525710991,2024-03-25,80.41
MLB3387261687,2024-03-12,195.97
MLB4316355190,2024-03-19,79.58
MLB3322742677,2024-03-26,272.75
MLB3749794156,2024-03-17,429.78
MLB3469104025,2024-03-03,778.15
MLB2986882753,2024-03-18,791.95
MLB2757013519,2024-03-13,820.28
MLB2638453818,2024-03-02,508.43
MLB3218281738,2024-03-01,46.86
MLB3301462109,2024-03-31,569.51
MLB3516522797,2024-03-02,261.65
MLB4096819080,2024-03-27,952.21
MLB3124456142,2024-03-18,867.05
MLB2929255812,2024-03-09,166.15
MLB3575611193,2024-03-10,551.85
MLB3394742467,2024-03-21,17.6
MLB3086996119,2024-03-21,567.56
MLB2919448813,2024-03-11,766.78
MLB3315327807,2024-03-27,862.85
MLB1439503311,2024-03-18,491.32
MLB3555057041,2024-03-29,971.68
MLB1674496274,2024-03-27,220.12
MLB3301462109,2024-03-31,429.02
MLB3842202456,2024-03-31,651.7
MLB4219292984,2024-03-20,867.99
MLB3508310321,2024-03-01,158.78
MLB1450506718,2024-03-27,732.35
MLB3382515267,2024-03-15,763.01
MLB2761325685,2024-03-29,955.23
MLB3549936467,2024-03-26,916.88
MLB4127711998,2024-03-25,103.2
MLB3866288374,2024-03-20,384.65
MLB4276120118,2024-03-03,979.89
MLB3520405303,2024-03-15,214.44
MLB4179683462,2024-03-19,819.94
MLB4281133192,2024-03-04,48.7
MLB3828762772,2024-03-28,591.54
MLB3836669552,2024-03-10,232.45
MLB3555198871,2024-03-01,867.31
MLB4316355190,2024-03-05,183.94
MLB4214898206,2024-03-21,775.25
MLB3508310321,2024-03-23,880.0
MLB3866288374,2024-03-22,742.4
